,pokedex_no,pokemon_name,pokemon_type,info,abilities,base_status,weakness_types,height(m),weight(kg)
170,171,Lanturn,"['Water', 'Electric']",Light Pokémon,"['Volt Absorb', 'Illuminate', 'Water Absorb']",460,"['Grass', 'Ground']",1.2,22.5
171,172,Pichu,['Electric'],Tiny Mouse Pokémon,"['Static', 'Lightning Rod']",205,['Ground'],0.3,2.0
172,173,Cleffa,['Fairy'],Star Shape Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",218,"['Poison', 'Steel']",0.3,3.0
173,174,Igglybuff,"['Normal', 'Fairy']",Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",210,"['Poison', 'Steel']",0.3,1.0
174,175,Togepi,['Fairy'],Spike Ball Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",245,"['Poison', 'Steel']",0.3,1.5
175,176,Togetic,"['Fairy', 'Flying']",Happiness Pokémon,"['Hustle', 'Serene Grace', 'Super Luck']",405,"['Electric', 'Ice', 'Poison', 'Rock', 'Steel']",0.6,3.2
176,177,Natu,"['Psychic', 'Flying']",Tiny Bird Pokémon,"['Synchronize', 'Early Bird', 'Magic Bounce']",320,"['Electric', 'Ice', 'Rock', 'Ghost', 'Dark']",0.2,2.0
177,178,Xatu,"['Psychic', 'Flying']",Mystic Pokémon,"['Synchronize', 'Early Bird', 'Magic Bounce']",470,"['Electric', 'Ice', 'Rock', 'Ghost', 'Dark']",1.5,15.0
178,179,Mareep,['Electric'],Wool Pokémon,"['Static', 'Plus']",280,['Ground'],0.6,7.8
179,180,Flaaffy,['Electric'],Wool Pokémon,"['Static', 'Plus']",365,['Ground'],0.8,13.3
180,181,Ampharos,['Electric'],Light Pokémon,"['Static', 'Plus']",510,['Ground'],1.4,61.5
181,182,Bellossom,['Grass'],Flower Pokémon,"['Chlorophyll', 'Healer']",490,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.4,5.8
182,183,Marill,"['Water', 'Fairy']",Aqua Mouse Pokémon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",250,"['Grass', 'Electric', 'Poison']",0.4,8.5
183,184,Azumarill,"['Water', 'Fairy']",Aqua Rabbit Pokémon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",420,"['Grass', 'Electric', 'Poison']",0.8,28.5
184,185,Sudowoodo,['Rock'],Imitation Pokémon,"['Sturdy', 'Rock Head', 'Rattled']",410,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",1.2,38.0
185,186,Politoed,['Water'],Frog Pokémon,"['Water Absorb', 'Damp', 'Drizzle']",500,"['Grass', 'Electric']",1.1,33.9
186,187,Hoppip,"['Grass', 'Flying']",Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",250,"['Fire', 'Poison', 'Flying', 'Rock']",0.4,0.5
187,188,Skiploom,"['Grass', 'Flying']",Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",340,"['Fire', 'Poison', 'Flying', 'Rock']",0.6,1.0
188,189,Jumpluff,"['Grass', 'Flying']",Cottonweed Pokémon,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",460,"['Fire', 'Ice', 'Poison', 'Flying', 'Rock']",0.8,3.0
189,190,Aipom,['Normal'],Long Tail Pokémon,"['Run Away', 'Pickup', 'Skill Link']",360,['Fighting'],0.8,11.5
190,191,Sunkern,['Grass'],Seed Pokémon,"['Chlorophyll', 'Solar Power', 'Early Bird']",180,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.3,1.8
191,192,Sunflora,['Grass'],Sun Pokémon,"['Chlorophyll', 'Solar Power', 'Early Bird']",425,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.8,8.5
192,193,Yanma,"['Bug', 'Flying']",Clear Wing Pokémon,"['Speed Boost', 'Compound Eyes', 'Frisk']",390,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.2,38.0
193,194,Wooper,"['Water', 'Ground']",Water Fish Pokémon,"['Damp', 'Water Absorb', 'Unaware']",210,['Grass'],0.4,8.5
194,195,Quagsire,"['Water', 'Ground']",Water Fish Pokémon,"['Damp', 'Water Absorb', 'Unaware']",430,['Grass'],1.4,75.0
195,196,Espeon,['Psychic'],Sun Pokémon,"['Synchronize', 'Magic Bounce']",525,"['Bug', 'Ghost', 'Dark']",0.9,26.5
196,197,Umbreon,['Dark'],Moonlight Pokémon,"['Synchronize', 'Inner Focus']",525,"['Fighting', 'Bug', 'Fairy']",1.0,27.0
197,198,Murkrow,"['Dark', 'Flying']",Darkness Pokémon,"['Insomnia', 'Super Luck', 'Prankster']",405,"['Electric', 'Ice', 'Rock', 'Fairy']",0.5,2.1
198,199,Slowking,"['Water', 'Psychic']",Royal Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",490,"['Grass', 'Electric', 'Bug', 'Ghost', 'Dark']",2.0,79.5
199,200,Misdreavus,['Ghost'],Screech Pokémon,['Levitate'],435,"['Ghost', 'Dark']",0.7,1.0
200,201,Unown,['Psychic'],Symbol Pokémon,['Levitate'],336,"['Bug', 'Ghost', 'Dark']",0.5,5.0
201,202,Wobbuffet,['Psychic'],Patient Pokémon,"['Shadow Tag', 'Telepathy']",405,"['Bug', 'Ghost', 'Dark']",1.3,28.5
202,203,Girafarig,"['Normal', 'Psychic']",Long Neck Pokémon,"['Inner Focus', 'Early Bird', 'Sap Sipper']",455,"['Bug', 'Dark']",1.5,41.5
203,204,Pineco,['Bug'],Bagworm Pokémon,"['Sturdy', 'Overcoat']",290,"['Fire', 'Flying', 'Rock']",0.6,7.2
204,205,Forretress,"['Bug', 'Steel']",Bagworm Pokémon,"['Sturdy', 'Overcoat']",465,['Fire'],1.2,125.8
205,206,Dunsparce,['Normal'],Land Snake Pokémon,"['Serene Grace', 'Run Away', 'Rattled']",415,['Fighting'],1.5,14.0
206,207,Gligar,"['Ground', 'Flying']",FlyScorpion Pokémon,"['Hyper Cutter', 'Sand Veil', 'Immunity']",430,"['Water', 'Ice']",1.1,64.8
207,208,Steelix,"['Steel', 'Ground']",Iron Snake Pokémon,"['Rock Head', 'Sturdy', 'Sheer Force']",510,"['Fire', 'Water', 'Fighting', 'Ground']",9.2,400.0
208,209,Snubbull,['Fairy'],Fairy Pokémon,"['Intimidate', 'Run Away', 'Rattled']",300,"['Poison', 'Steel']",0.6,7.8
209,210,Granbull,['Fairy'],Fairy Pokémon,"['Intimidate', 'Quick Feet', 'Rattled']",450,"['Poison', 'Steel']",1.4,48.7
210,211,Qwilfish,"['Water', 'Poison']",Balloon Pokémon,"['Poison Point', 'Swift Swim', 'Intimidate']",440,"['Electric', 'Ground', 'Psychic']",0.5,3.9
211,212,Scizor,"['Bug', 'Steel']",Pincer Pokémon,"['Swarm', 'Technician', 'Light Metal']",500,['Fire'],1.8,118.0
212,213,Shuckle,"['Bug', 'Rock']",Mold Pokémon,"['Sturdy', 'Gluttony', 'Contrary']",505,"['Water', 'Rock', 'Steel']",0.6,20.5
213,214,Heracross,"['Bug', 'Fighting']",Single Horn Pokémon,"['Swarm', 'Guts', 'Moxie']",500,"['Fire', 'Flying', 'Psychic', 'Fairy']",1.5,54.0
214,215,Sneasel,"['Dark', 'Ice']",Sharp Claw Pokémon,"['Inner Focus', 'Keen Eye', 'Pickpocket']",430,"['Fire', 'Fighting', 'Bug', 'Rock', 'Steel', 'Fairy']",0.9,28.0
215,216,Teddiursa,['Normal'],Little Bear Pokémon,"['Pickup', 'Quick Feet', 'Honey Gather']",330,['Fighting'],0.6,8.8
216,217,Ursaring,['Normal'],Hibernator Pokémon,"['Guts', 'Quick Feet', 'Unnerve']",500,['Fighting'],1.8,125.8
217,218,Slugma,['Fire'],Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",250,"['Water', 'Ground', 'Rock']",0.7,35.0
218,219,Magcargo,"['Fire', 'Rock']",Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",430,"['Water', 'Fighting', 'Ground', 'Rock']",0.8,55.0
219,220,Swinub,"['Ice', 'Ground']",Pig Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",250,"['Fire', 'Water', 'Grass', 'Fighting', 'Steel']",0.4,6.5
220,221,Piloswine,"['Ice', 'Ground']",Swine Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",450,"['Fire', 'Water', 'Grass', 'Fighting', 'Steel']",1.1,55.8
221,222,Corsola,"['Water', 'Rock']",Coral Pokémon,"['Hustle', 'Natural Cure', 'Regenerator']",410,"['Grass', 'Electric', 'Fighting', 'Ground']",0.6,5.0
222,223,Remoraid,['Water'],Jet Pokémon,"['Hustle', 'Sniper', 'Moody']",300,"['Grass', 'Electric']",0.6,12.0
223,224,Octillery,['Water'],Jet Pokémon,"['Suction Cups', 'Sniper', 'Moody']",480,"['Grass', 'Electric']",0.9,28.5
224,225,Delibird,"['Ice', 'Flying']",Delivery Pokémon,"['Vital Spirit', 'Hustle', 'Insomnia']",330,"['Fire', 'Electric', 'Rock', 'Steel']",0.9,16.0
225,226,Mantine,"['Water', 'Flying']",Kite Pokémon,"['Swift Swim', 'Water Absorb', 'Water Veil']",485,"['Electric', 'Rock']",2.1,220.0
226,227,Skarmory,"['Steel', 'Flying']",Armor Bird Pokémon,"['Keen Eye', 'Sturdy', 'Weak Armor']",465,"['Fire', 'Electric']",1.7,50.5
227,228,Houndour,"['Dark', 'Fire']",Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",330,"['Water', 'Fighting', 'Ground', 'Rock']",0.6,10.8
228,229,Houndoom,"['Dark', 'Fire']",Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",500,"['Water', 'Fighting', 'Ground', 'Rock']",1.4,35.0
229,230,Kingdra,"['Water', 'Dragon']",Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",540,"['Dragon', 'Fairy']",1.8,152.0
230,231,Phanpy,['Ground'],Long Nose Pokémon,"['Pickup', 'Sand Veil']",330,"['Water', 'Grass', 'Ice']",0.5,33.5
231,232,Donphan,['Ground'],Armor Pokémon,"['Sturdy', 'Sand Veil']",500,"['Water', 'Grass', 'Ice']",1.1,120.0
232,233,Porygon2,['Normal'],Virtual Pokémon,"['Trace', 'Download', 'Analytic']",515,['Fighting'],0.6,32.5
233,234,Stantler,['Normal'],Big Horn Pokémon,"['Intimidate', 'Frisk', 'Sap Sipper']",465,['Fighting'],1.4,71.2
234,235,Smeargle,['Normal'],Painter Pokémon,"['Own Tempo', 'Technician', 'Moody']",250,['Fighting'],1.2,58.0
235,236,Tyrogue,['Fighting'],Scuffle Pokémon,"['Guts', 'Steadfast', 'Vital Spirit']",210,"['Flying', 'Psychic', 'Fairy']",0.7,21.0
236,237,Hitmontop,['Fighting'],Handstand Pokémon,"['Intimidate', 'Technician', 'Steadfast']",455,"['Flying', 'Psychic', 'Fairy']",1.4,48.0
237,238,Smoochum,"['Ice', 'Psychic']",Kiss Pokémon,"['Oblivious', 'Forewarn', 'Hydration']",305,"['Fire', 'Bug', 'Rock', 'Ghost', 'Dark', 'Steel']",0.4,6.0
238,239,Elekid,['Electric'],Electric Pokémon,"['Static', 'Vital Spirit']",360,['Ground'],0.6,23.5
239,240,Magby,['Fire'],Live Coal Pokémon,"['Flame Body', 'Vital Spirit']",365,"['Water', 'Ground', 'Rock']",0.7,21.4
240,241,Miltank,['Normal'],Milk Cow Pokémon,"['Thick Fat', 'Scrappy', 'Sap Sipper']",490,['Fighting'],1.2,75.5
241,242,Blissey,['Normal'],Happiness Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",540,['Fighting'],1.5,46.8
242,243,Raikou,['Electric'],Thunder Pokémon,"['Pressure', 'Inner Focus']",580,['Ground'],1.9,178.0
243,244,Entei,['Fire'],Volcano Pokémon,"['Pressure', 'Inner Focus']",580,"['Water', 'Ground', 'Rock']",2.1,198.0
244,245,Suicune,['Water'],Aurora Pokémon,"['Pressure', 'Inner Focus']",580,"['Grass', 'Electric']",2.0,187.0
245,246,Larvitar,"['Rock', 'Ground']",Rock Skin Pokémon,"['Guts', 'Sand Veil']",300,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",0.6,72.0
246,247,Pupitar,"['Rock', 'Ground']",Hard Shell Pokémon,['Shed Skin'],410,"['Water', 'Grass', 'Ice', 'Fighting', 'Ground', 'Steel']",1.2,152.0
247,248,Tyranitar,"['Rock', 'Dark']",Armor Pokémon,"['Sand Stream', 'Unnerve']",600,"['Water', 'Grass', 'Fighting', 'Ground', 'Bug', 'Steel', 'Fairy']",2.0,202.0
248,249,Lugia,"['Psychic', 'Flying']",Diving Pokémon,"['Pressure', 'Multiscale']",680,"['Electric', 'Ice', 'Rock', 'Ghost', 'Dark']",5.2,216.0
249,250,Ho-oh,"['Fire', 'Flying']",Rainbow Pokémon,"['Pressure', 'Regenerator']",680,"['Water', 'Electric', 'Rock']",3.8,199.0
250,251,Celebi,"['Psychic', 'Grass']",Time Travel Pokémon,['Natural Cure'],600,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug', 'Ghost', 'Dark']",0.6,5.0
251,252,Treecko,['Grass'],Wood Gecko Pokémon,"['Overgrow', 'Unburden']",310,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.5,5.0
252,253,Grovyle,['Grass'],Wood Gecko Pokémon,"['Overgrow', 'Unburden']",405,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.9,21.6
253,254,Sceptile,['Grass'],Forest Pokémon,"['Overgrow', 'Unburden']",530,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",1.7,52.2
254,255,Torchic,['Fire'],Chick Pokémon,"['Blaze', 'Speed Boost']",310,"['Water', 'Ground', 'Rock']",0.4,2.5
255,256,Combusken,"['Fire', 'Fighting']",Young Fowl Pokémon,"['Blaze', 'Speed Boost']",405,"['Water', 'Ground', 'Flying', 'Psychic']",0.9,19.5
256,257,Blaziken,"['Fire', 'Fighting']",Blaze Pokémon,"['Blaze', 'Speed Boost']",530,"['Water', 'Ground', 'Flying', 'Psychic']",1.9,52.0
257,258,Mudkip,['Water'],Mud Fish Pokémon,"['Torrent', 'Damp']",310,"['Grass', 'Electric']",0.4,7.6
258,259,Marshtomp,"['Water', 'Ground']",Mud Fish Pokémon,"['Torrent', 'Damp']",405,[],0.7,28.0
259,260,Swampert,"['Water', 'Ground']",Mud Fish Pokémon,"['Torrent', 'Damp']",535,['Grass'],1.5,81.9
260,261,Poochyena,['Dark'],Bite Pokémon,"['Run Away', 'Quick Feet', 'Rattled']",220,"['Fighting', 'Bug', 'Fairy']",0.5,13.6
261,262,Mightyena,['Dark'],Bite Pokémon,"['Intimidate', 'Quick Feet', 'Moxie']",420,"['Fighting', 'Bug', 'Fairy']",1.0,37.0
262,263,Zigzagoon,['Normal'],TinyRaccoon Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",240,['Fighting'],0.4,17.5
263,264,Linoone,['Normal'],Rushing Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",420,['Fighting'],0.5,32.5
264,265,Wurmple,['Bug'],Worm Pokémon,"['Shield Dust', 'Run Away']",195,"['Fire', 'Flying', 'Rock']",0.3,3.6
265,266,Silcoon,['Bug'],Cocoon Pokémon,['Shed Skin'],205,"['Fire', 'Flying', 'Rock']",0.6,10.0
266,267,Beautifly,"['Bug', 'Flying']",Butterfly Pokémon,"['Swarm', 'Rivalry']",395,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.0,28.4
267,268,Cascoon,['Bug'],Cocoon Pokémon,['Shed Skin'],205,"['Fire', 'Flying', 'Rock']",0.7,11.5
268,269,Dustox,"['Bug', 'Poison']",Poison Moth Pokémon,"['Shield Dust', 'Compound Eyes']",385,"['Fire', 'Flying', 'Psychic', 'Rock']",1.2,31.6
269,270,Lotad,"['Water', 'Grass']",Water Weed Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",220,"['Poison', 'Flying', 'Bug']",0.5,2.6
270,271,Lombre,"['Water', 'Grass']",Jolly Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",340,"['Poison', 'Flying', 'Bug']",1.2,32.5
271,272,Ludicolo,"['Water', 'Grass']",Carefree Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",480,"['Poison', 'Flying', 'Bug']",1.5,55.0
272,273,Seedot,['Grass'],Acorn Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",220,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.5,4.0
273,274,Nuzleaf,"['Grass', 'Dark']",Wily Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",340,"['Fire', 'Ice', 'Fighting', 'Poison', 'Flying', 'Bug', 'Fairy']",1.0,28.0
274,275,Shiftry,"['Grass', 'Dark']",Wicked Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",480,"['Fire', 'Ice', 'Fighting', 'Poison', 'Flying', 'Bug', 'Fairy']",1.3,59.6
275,276,Taillow,"['Normal', 'Flying']",TinySwallow Pokémon,"['Guts', 'Scrappy']",270,"['Electric', 'Ice', 'Rock']",0.3,2.3
276,277,Swellow,"['Normal', 'Flying']",Swallow Pokémon,"['Guts', 'Scrappy']",455,"['Electric', 'Ice', 'Rock']",0.7,19.8
277,278,Wingull,"['Water', 'Flying']",Seagull Pokémon,"['Keen Eye', 'Hydration', 'Rain Dish']",270,"['Electric', 'Rock']",0.6,9.5
278,279,Pelipper,"['Water', 'Flying']",Water Bird Pokémon,"['Keen Eye', 'Drizzle', 'Rain Dish']",440,"['Electric', 'Rock']",1.2,28.0
279,280,Ralts,"['Psychic', 'Fairy']",Feeling Pokémon,"['Synchronize', 'Trace', 'Telepathy']",198,"['Poison', 'Ghost', 'Steel']",0.4,6.6
280,281,Kirlia,"['Psychic', 'Fairy']",Emotion Pokémon,"['Synchronize', 'Trace', 'Telepathy']",278,"['Poison', 'Ghost', 'Steel']",0.8,20.2
281,282,Gardevoir,"['Psychic', 'Fairy']",Embrace Pokémon,"['Synchronize', 'Trace', 'Telepathy']",518,"['Poison', 'Ghost', 'Steel']",1.6,48.4
282,283,Surskit,"['Bug', 'Water']",Pond Skater Pokémon,"['Swift Swim', 'Rain Dish']",269,"['Electric', 'Flying', 'Rock']",0.5,1.7
283,284,Masquerain,"['Bug', 'Flying']",Eyeball Pokémon,"['Intimidate', 'Unnerve']",454,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",0.8,3.6
284,285,Shroomish,['Grass'],Mushroom Pokémon,"['Effect Spore', 'Poison Heal', 'Quick Feet']",295,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.4,4.5
285,286,Breloom,"['Grass', 'Fighting']",Mushroom Pokémon,"['Effect Spore', 'Poison Heal', 'Technician']",460,"['Fire', 'Ice', 'Poison', 'Psychic', 'Bug', 'Fairy']",1.2,39.2
286,287,Slakoth,['Normal'],Slacker Pokémon,['Truant'],280,['Fighting'],0.8,24.0
287,288,Vigoroth,['Normal'],Wild Monkey Pokémon,['Vital Spirit'],440,['Fighting'],1.4,46.5
288,289,Slaking,['Normal'],Lazy Pokémon,['Truant'],670,['Fighting'],2.0,130.5
289,290,Nincada,"['Bug', 'Ground']",Trainee Pokémon,"['Compound Eyes', 'Run Away']",266,"['Fire', 'Water', 'Ice', 'Flying']",0.5,5.5
290,291,Ninjask,"['Bug', 'Flying']",Ninja Pokémon,"['Speed Boost', 'Infiltrator']",456,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",0.8,12.0
291,292,Shedinja,"['Bug', 'Ghost']",Shed Pokémon,['Wonder Guard'],236,"['Fire', 'Flying', 'Rock', 'Ghost', 'Dark']",0.8,1.2
292,293,Whismur,['Normal'],Whisper Pokémon,"['Soundproof', 'Rattled']",240,['Fighting'],0.6,16.3
293,294,Loudred,['Normal'],Big Voice Pokémon,"['Soundproof', 'Scrappy']",360,['Fighting'],1.0,40.5
294,295,Exploud,['Normal'],Loud Noise Pokémon,"['Soundproof', 'Scrappy']",490,['Fighting'],1.5,84.0
295,296,Makuhita,['Fighting'],Guts Pokémon,"['Thick Fat', 'Guts', 'Sheer Force']",237,"['Flying', 'Psychic', 'Fairy']",1.0,86.4
296,297,Hariyama,['Fighting'],Arm Thrust Pokémon,"['Thick Fat', 'Guts', 'Sheer Force']",474,"['Flying', 'Psychic', 'Fairy']",2.3,253.8
297,298,Azurill,"['Normal', 'Fairy']",Polka Dot Pokémon,"['Thick Fat', 'Huge Power', 'Sap Sipper']",190,"['Poison', 'Steel']",0.2,2.0
298,299,Nosepass,['Rock'],Compass Pokémon,"['Sturdy', 'Magnet Pull', 'Sand Force']",375,"['Water', 'Grass', 'Fighting', 'Ground', 'Steel']",1.0,97.0
299,300,Skitty,['Normal'],Kitten Pokémon,"['Cute Charm', 'Normalize', 'Wonder Skin']",260,['Fighting'],0.6,11.0
300,301,Delcatty,['Normal'],Prim Pokémon,"['Cute Charm', 'Normalize', 'Wonder Skin']",400,['Fighting'],1.1,32.6
301,302,Sableye,"['Dark', 'Ghost']",Darkness Pokémon,"['Keen Eye', 'Stall', 'Prankster']",380,['Fairy'],0.5,11.0
302,303,Mawile,"['Steel', 'Fairy']",Deceiver Pokémon,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",380,"['Fire', 'Ground']",0.6,11.5
303,304,Aron,"['Steel', 'Rock']",Iron Armor Pokémon,"['Sturdy', 'Rock Head', 'Heavy Metal']",330,"['Water', 'Fighting', 'Ground']",0.4,60.0
304,305,Lairon,"['Steel', 'Rock']",Iron Armor Pokémon,"['Sturdy', 'Rock Head', 'Heavy Metal']",430,"['Water', 'Fighting', 'Ground']",0.9,120.0
305,306,Aggron,"['Steel', 'Rock']",Iron Armor Pokémon,"['Sturdy', 'Rock Head', 'Heavy Metal']",530,"['Water', 'Fighting', 'Ground']",2.1,360.0
306,307,Meditite,"['Fighting', 'Psychic']",Meditate Pokémon,"['Pure Power', 'Telepathy']",280,"['Flying', 'Ghost', 'Fairy']",0.6,11.2
307,308,Medicham,"['Fighting', 'Psychic']",Meditate Pokémon,"['Pure Power', 'Telepathy']",410,"['Flying', 'Ghost', 'Fairy']",1.3,31.5
308,309,Electrike,['Electric'],Lightning Pokémon,"['Static', 'Lightning Rod', 'Minus']",295,['Ground'],0.6,15.2
309,310,Manectric,['Electric'],Discharge Pokémon,"['Static', 'Lightning Rod', 'Minus']",475,['Ground'],1.5,40.2
310,311,Plusle,['Electric'],Cheering Pokémon,"['Plus', 'Lightning Rod']",405,['Ground'],0.4,4.2
311,312,Minun,['Electric'],Cheering Pokémon,"['Minus', 'Volt Absorb']",405,['Ground'],0.4,4.2
312,313,Volbeat,['Bug'],Firefly Pokémon,"['Illuminate', 'Swarm', 'Prankster']",430,"['Fire', 'Flying', 'Rock']",0.7,17.7
313,314,Illumise,['Bug'],Firefly Pokémon,"['Oblivious', 'Tinted Lens', 'Prankster']",430,"['Fire', 'Flying', 'Rock']",0.6,17.7
314,315,Roselia,"['Grass', 'Poison']",Thorn Pokémon,"['Natural Cure', 'Poison Point', 'Leaf Guard']",400,"['Fire', 'Ice', 'Flying', 'Psychic']",0.3,2.0
315,316,Gulpin,['Poison'],Stomach Pokémon,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",302,"['Ground', 'Psychic']",0.4,10.3
316,317,Swalot,['Poison'],Poison Bag Pokémon,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",467,"['Ground', 'Psychic']",1.7,80.0
317,318,Carvanha,"['Water', 'Dark']",Savage Pokémon,"['Rough Skin', 'Speed Boost']",305,"['Grass', 'Electric', 'Fighting', 'Bug', 'Fairy']",0.8,20.8
318,319,Sharpedo,"['Water', 'Dark']",Brutal Pokémon,"['Rough Skin', 'Speed Boost']",460,"['Grass', 'Electric', 'Fighting', 'Bug', 'Fairy']",1.8,88.8
319,320,Wailmer,['Water'],Ball Whale Pokémon,"['Water Veil', 'Oblivious', 'Pressure']",400,"['Grass', 'Electric']",2.0,130.0
320,321,Wailord,['Water'],Float Whale Pokémon,"['Water Veil', 'Oblivious', 'Pressure']",500,"['Grass', 'Electric']",14.,398.0
321,322,Numel,"['Fire', 'Ground']",Numb Pokémon,"['Oblivious', 'Simple', 'Own Tempo']",305,"['Water', 'Ground']",0.7,24.0
322,323,Camerupt,"['Fire', 'Ground']",Eruption Pokémon,"['Magma Armor', 'Solid Rock', 'Anger Point']",460,"['Water', 'Ground']",1.9,220.0
323,324,Torkoal,['Fire'],Coal Pokémon,"['White Smoke', 'Drought', 'Shell Armor']",470,"['Water', 'Ground', 'Rock']",0.5,80.4
324,325,Spoink,['Psychic'],Bounce Pokémon,"['Thick Fat', 'Own Tempo', 'Gluttony']",330,"['Bug', 'Ghost', 'Dark']",0.7,30.6
325,326,Grumpig,['Psychic'],Manipulate Pokémon,"['Thick Fat', 'Own Tempo', 'Gluttony']",470,"['Bug', 'Ghost', 'Dark']",0.9,71.5
326,327,Spinda,['Normal'],Spot Panda Pokémon,"['Own Tempo', 'Tangled Feet', 'Contrary']",360,['Fighting'],1.1,5.0
327,328,Trapinch,['Ground'],Ant Pit Pokémon,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",290,"['Water', 'Grass', 'Ice']",0.7,15.0
328,329,Vibrava,"['Ground', 'Dragon']",Vibration Pokémon,['Levitate'],340,"['Ice', 'Dragon', 'Fairy']",1.1,15.3
329,330,Flygon,"['Ground', 'Dragon']",Mystic Pokémon,['Levitate'],520,"['Ice', 'Dragon', 'Fairy']",2.0,82.0
330,331,Cacnea,['Grass'],Cactus Pokémon,"['Sand Veil', 'Water Absorb']",335,"['Fire', 'Ice', 'Poison', 'Flying', 'Bug']",0.4,51.3
331,332,Cacturne,"['Grass', 'Dark']",Scarecrow Pokémon,"['Sand Veil', 'Water Absorb']",475,"['Fire', 'Ice', 'Fighting', 'Poison', 'Flying', 'Bug', 'Fairy']",1.3,77.4
332,333,Swablu,"['Normal', 'Flying']",Cotton Bird Pokémon,"['Natural Cure', 'Cloud Nine']",310,"['Electric', 'Ice', 'Rock']",0.4,1.2
333,334,Altaria,"['Dragon', 'Flying']",Humming Pokémon,"['Natural Cure', 'Cloud Nine']",490,"['Ice', 'Rock', 'Dragon', 'Fairy']",1.1,20.6
334,335,Zangoose,['Normal'],Cat Ferret Pokémon,"['Immunity', 'Toxic Boost']",458,['Fighting'],1.3,40.3
335,336,Seviper,['Poison'],Fang Snake Pokémon,"['Shed Skin', 'Infiltrator']",458,"['Ground', 'Psychic']",2.7,52.5
336,337,Lunatone,"['Rock', 'Psychic']",Meteorite Pokémon,['Levitate'],460,"['Water', 'Grass', 'Ground', 'Bug', 'Ghost', 'Dark', 'Steel']",1.0,168.0
337,338,Solrock,"['Rock', 'Psychic']",Meteorite Pokémon,['Levitate'],460,"['Water', 'Grass', 'Ground', 'Bug', 'Ghost', 'Dark', 'Steel']",1.2,154.0
338,339,Barboach,"['Water', 'Ground']",Whiskers Pokémon,"['Oblivious', 'Anticipation', 'Hydration']",288,['Grass'],0.4,1.9
339,340,Whiscash,"['Water', 'Ground']",Whiskers Pokémon,"['Oblivious', 'Anticipation', 'Hydration']",468,['Grass'],0.9,23.6
340,341,Corphish,['Water'],Ruffian Pokémon,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",308,"['Grass', 'Electric']",0.6,11.5
341,342,Crawdaunt,"['Water', 'Dark']",Rogue Pokémon,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",468,"['Grass', 'Electric', 'Fighting', 'Bug', 'Fairy']",1.1,32.8
